id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
40,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",t1oNQuw0bL4,CL28,Fully immunized by 2 years,Child Immunization,2.6.3,CL28
41,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",JSRCj9aRZcz,WT01A,BCG - Open Balance,Vaccine Availability And Wastage,2.6.4,WT01
42,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",QGoQrfDCKYl,WT01B,BCG - Received,Vaccine Availability And Wastage,2.6.4,WT01
43,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",OdcboRpaL6I,WT01C,BCG - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT01
44,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",OZ4bSvHFF9Y,WT01D,BCG - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT01
45,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",mfNGTqKlfpc,WT02A ,Hep B zero doze - Open Balance,Vaccine Availability And Wastage,2.6.4,WT02
46,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",I2rc7lEpb7z,WT02B,Hep B zero doze - Received,Vaccine Availability And Wastage,2.6.4,WT02
47,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",G6RGJzeAQlR,WT02C ,Hep B zero doze - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT02
48,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",HHj0p0Ac8A3,WT02D ,Hep B zero doze - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT02
49,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",ppGkYNMqWX8,WT03A,Polio(OPV) - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT03
50,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",iPWG1C3NTi1,WT03B,Polio(OPV)  - Received,Vaccine Availability And Wastage,2.6.4,WT03
51,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",XQnMR1KMwT5,WT03C,Polio(OPV)  - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT03
52,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",SUmRVIrStBP,WT03D,Polio(OPV)  - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT03
53,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",noDiieWFh6r,WT04A,IPV - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT04
54,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",lXdHXpzOilO,WT04B,IPV - Received,Vaccine Availability And Wastage,2.6.4,WT04
55,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",BrWcfdYGPXO,WT04C,IPV - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT04
56,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",NjD7qC46klG,WT04D,IPV - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT04
57,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",q0eJayyV6Js,WT05A,DPT+HepB+Hib - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT05
58,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",FLBA3T25bpz,WT05B,DPT+HepB+Hib  - Received,Vaccine Availability And Wastage,2.6.4,WT05
59,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",mBTn9mI2Hx0,WT05C,DPT+HepB+Hib  - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT05
60,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",Zcw2OCp00oE,WT05D,DPT+HepB+Hib - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT05
61,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",R0JGyJ4piOh,WT06A,PCV - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT06
62,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",BzBLojjjeRB,WT06B,PCV - Received,Vaccine Availability And Wastage,2.6.4,WT06
63,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",cXy4Pwau1SF,WT06C,PCV - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT06
64,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",a5p50RZM4j8,WT06D,PCV - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT06
65,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",KBxOZNiR67y,WT07A,Rotavirus - Opening Balance,Vaccine Availability And Wastage,2.6.4,WT07
66,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",xpZ6TjMsme7,WT07B,Rotavirus - Received,Vaccine Availability And Wastage,2.6.4,WT07
67,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",syx0YWdQeAW,WT07C,Rotavirus - Closing Balance,Vaccine Availability And Wastage,2.6.4,WT07
68,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",VUcc4loOjrS,WT07D,Rotavirus - Doses Wasted,Vaccine Availability And Wastage,2.6.4,WT07
