id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
51,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
52,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
53,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
54,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
55,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
56,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
57,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,dCKzhhINakS,"20+Yrs, Male"
58,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,huBy3W5qiD2,"29Dys-4Yrs, Female"
59,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,V2OuNTRI6ua,"29Dys-4Yrs, Male"
60,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,Crc5reUlspd,"5-9Yrs, Female"
61,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,F1rms8f9I9a,"5-9Yrs, Male"
62,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
63,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,dCKzhhINakS,"20+Yrs, Male"
64,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,huBy3W5qiD2,"29Dys-4Yrs, Female"
65,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,V2OuNTRI6ua,"29Dys-4Yrs, Male"
66,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,Crc5reUlspd,"5-9Yrs, Female"
67,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,F1rms8f9I9a,"5-9Yrs, Male"
68,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,wDiX34aiw6i,"0-28Dys, Female"
69,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,zh2zAaHyYQx,"0-28Dys, Male"
70,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,u3CkZqMHfHP,"10-19Yrs, Female"
71,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,c7gvocRdg0f,"10-19Yrs, Male"
72,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,XVHTeecEOM3,"20+Yrs, Female"
73,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,dCKzhhINakS,"20+Yrs, Male"
74,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,huBy3W5qiD2,"29Dys-4Yrs, Female"
75,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
76,242,CA01,Cervical Cancer,1198,Exocervix,1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
