id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,hmis_code
187,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),SpoSb2vUZTB,SR02B,TPHA - Positive,SR02
188,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),oLHkxHBpunK,SR03A,Shigella Dysentery - Done,SR03
189,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),eW4FVOhEeCP,SR03B,Shigella Dysentery - Positive,SR03
190,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HLSOl6fGZbm,SR04,Hepatitis BsAg- Done,SR04
191,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hnz5wHFaX0w,SR04B,Hepatitis BsAg- Positive,SR04
192,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lAY0XbxnemJ,SR05A,Brucella - Done,SR05
193,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zGkWywUtcXm,SR05B,Brucella - Positive,SR05
194,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lLCw5i5eoQn,SR06A,Pregnancy Test (HCG) - Done,SR06
195,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),SxFU9oxVzDk,SR06B,Pregnancy Test (HCG) - Positive,SR06
196,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hTO7GyKw5eu,SR07A,CrAg- Done,SR07
197,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),A7AQ3brLmR4,SR07B,CrAg- Positive,SR07
198,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),nlQ2XHHaB5L,SR08A,Rheumatoid factor - Done,SR08
199,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),awNr3PBxRtR,SR08B,Rheumatoid factor - Positive,SR08
200,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HguwEg0juDT,SR09A,Hep B Core Ag - Done,SR09
201,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wopTt6jkxVE,SR09B,Hep B Core Ag - Positive,SR09
202,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),pa4KlOWImIA,SR10A,Hep C - Done,SR10
203,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),bO6ATLeZUl4,SR10B,Hep C - Positive,SR10
204,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),pGDRIjvl39Q,SR11A,Hep A - Done,SR11
205,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),JBdnQRzdetM,SR11B,Hep A - Positive,SR11
206,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),u6bn84xJh9Z,SR12a,Hep BsAg- Done,SR12
207,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),fZNxozMEuqd,SR12b,Hep BsAg - Positive,SR12
208,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Zgg5oLWUf09,SR13a,H. pylori- Done,SR13
209,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),MSueM02Rned,SR13b,H. pylori - Positive,SR13
210,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lvze6t5xhHb,SR14a,Occult blood- Done,SR14
211,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ijUAc6k60Wn,SR14b,Occult blood - Positive,SR14
212,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Fa9hodskeJ9,SR15a,Toxoplasma IgG- Done,SR15
213,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),CjO5qomd6A5,SR15b,Toxoplasma IgG - Positive,SR15
214,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),QMf9LkI1COW,SR16a,Toxoplasma IgM- Done,SR16
215,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dJIA1SFb816,SR16b,Toxoplasma IgM - Positive,SR16
216,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),iyHv5ZAvDpl,SR17a,Rubella- Done,SR17
217,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),y8wjTLBBCSt,SR17b,Rubella - Positive,SR17
218,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HNIGPbNjTS1,SR18a,Others- Done,SR18
219,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DE64n22luZt,SR18b,Others - Positive,SR18
220,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TU4hCLREQB2,TP01.,T3- Done,TP01
221,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),oCig5lw6NFd,TP02.,T4- Done,TP02
222,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),f50jzpPHhJV,TP03,TSH - Done,TP03
223,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),BfUGncAgsIa,TP04,Free T3 - Done,TP04
224,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ubBoPfBZF8D,TP05,Free T4 - Done,TP05
225,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),aJ7qRn2xZJX,VS01A,EID - Samples Referred,VS01
226,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ogPzhS1PmWv,VS01C,EID - Pending Results/Feedback,VS01
227,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PCgPk2ogPHn,VS02A,Viral Load for HIV - Samples Referred,VS02
228,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mY67oZffpOd,VS02C,Viral Load for HIV - Pending Results/Feedback,VS02
229,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ASdJwmuvKPO,VS03A,CD4 - Samples Referred,VS03
230,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YpMOS6ALssw,VS03C,CD4 - Pending Results/Feedback,VS03
231,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),gpYLUiKrNHx,VS04A,Sickle Cell Disease Confirmation - Samples Referred,VS04
232,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Da2nbJXyvFD,VS04C,Sickle Cell Disease Confirmation - Pending Results/Feedback,VS04
233,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),cE4xYyV9cP0,VS05A,Histology - Samples Referred,VS05
234,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),x1jRXEJQk7x,VS05C,Histology - Pending Results/Feedback,VS05
235,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),vXfooQLBVof,VS06A,Polio/ or Acute Flaccid Paralysis - Samples Referred,VS06
236,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jz4R6FGAptf,VS06C,Polio/ or Acute Flaccid Paralysis - Pending Results/Feedback,VS06
237,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xkzCOlTZvUm,VS07A,Severe Acute Respiratory Syndrome/Infection (SARS/SARI) - Samples Referred,VS07
238,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),i1wNCbGgehn,VS07C,Severe Acute Respiratory Syndrome/Infection (SARS/SARI) - Pending Results/Feedback,VS07
239,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uk1ygS4ih90,VS08A,TB Genexpert - Samples Referred,VS08
240,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Xl9LoXyDBQi,VS08C,TB Genexpert - Pending Results/Feedback,VS08
241,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),bb7858UYVhK,VS09A,DST for Multi Drug Resistance TB (MDR TB) - Samples Referred,VS09
