section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid
2.2,Maternity,,,MA13,Maternal deaths,F8Iz6QcexWB,sxBbkmHxnBP
2.2,Maternity,,,MA14,No. of mothers who initiated breastfeeding within the 1st hour after delivery,XXZZbU4B2N3,HllvX50cXC0
2.2,Maternity,,,MA14,No. of mothers who initiated breastfeeding within the 1st hour after delivery,PNG0YDb6dpy,HllvX50cXC0
2.2,Maternity,,,MA15,Women tested for HIV in labour 1st time this Pregnancy,AUfFbS7cWFd,HllvX50cXC0
2.2,Maternity,,,MA15,Women tested for HIV in labour 1st time this Pregnancy,SPctnmpC7W6,HllvX50cXC0
2.2,Maternity,,,MA15,Women tested for HIV in labour 1st time this Pregnancy,SPctnmpC7W6,E7OcV5dLNeV
2.2,Maternity,,,MA15,Women tested for HIV in labour 1st time this Pregnancy,SPctnmpC7W6,gqp69grjFaC
2.2,Maternity,,,MA17,HIV+ women initiating ART in maternity,KDoEmOjpYnL,HllvX50cXC0
2.2,Maternity,,,MA18,Male partners received HIV test results in the maternity setting,BlJQ2P6kkQi,HllvX50cXC0
2.2,Maternity,,,MA18,Male partners received HIV test results in the maternity setting,eHCrSEA2kSy,HllvX50cXC0
2.2,Maternity,,,MA18,Male partners received HIV test results in the maternity setting,eHCrSEA2kSy,E7OcV5dLNeV
2.2,Maternity,,,MA18,Male partners received HIV test results in the maternity setting,eHCrSEA2kSy,gqp69grjFaC
