id,section_id,section_name,hmis_code,dataelement,hmis_name,dataset_id,dataset_code,dataset_name
47,1.3.3,Neonatal Diseases,ND06,jAJQPlf99VV,Neonatal Jaundice,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
48,1.3.3,Neonatal Diseases,ND07,dKN174dcsmp,Other Neonatal Conditions,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
49,1.3.4,Non Communicable,NC01,EeUWzpLdAcO,Sickle Cell Disease,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
50,1.3.4,Non Communicable,NC03,Rw3b8mGkyfh,Gastro-Intestinal Disorders (non-Infective),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
51,1.3.4,Non Communicable,NC04,rr9sLKsqflQ,Pain Requiring Palliative Care,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
52,1.3.4,Non Communicable,NC05,eIoBNrydyLJ,Haemophilia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
53,1.3.4,Non Communicable,NC06,R86U0YHv8Jx,Deep Vein Thrombosis (DVT),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
54,1.3.5,Oral Diseases,OD01,dm8YiC5eEsh,Dental Caries,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
55,1.3.5,Oral Diseases,OD02,rdz78LtNT4G,Gingivitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
56,1.3.5,Oral Diseases,OD03,XaX3Uqpvlzs,HIV-Oral lesions,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
57,1.3.5,Oral Diseases,OD04,jipSinNApZk,Other Oral Conditions,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
58,1.3.6,ENT Conditions,EN01,SPADxEItrIQ,Otitis media acute and chronic,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
59,1.3.6,ENT Conditions,EN02,kY9yLRb9w5e,Mastoiditis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
60,1.3.6,ENT Conditions,EN03,p9EPi77rptk,Hearing loss,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
61,1.3.6,ENT Conditions,EN04,JHOU1uXweoP,Rhinitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
62,1.3.6,ENT Conditions,EN05,WI1Hvx0U8r4,Sinusitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
63,1.3.6,ENT Conditions,EN06,wH5AisRhyZX,Epixtasis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
64,1.3.6,ENT Conditions,EN07,FoUL2ZIS1mZ,Adenoid Hypertrophy,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
65,1.3.6,ENT Conditions,EN08,m8Vi9AE8uD1,Foreign Body in nose ear and aero - digestive system,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
