"id","section_id","section_name","hmis_code","hmis_name","disease_id","five_character_icd_code","four_character_icd_code","disease_name","simplified_name"
106,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,712,B50.8,B508,Other severe and complicated Plasmodium falciparum malaria,"Severe or complicated Plasmodium falciparum malaria NOS, "
107,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,712,B50.8,B508,Other severe and complicated Plasmodium falciparum malaria,"Severe or complicated Plasmodium falciparum malaria NOS, "
108,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,713,B50.9,B509,"Plasmodium falciparum malaria, unspecified",''
109,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,714,B51,B51,Plasmodium vivax malaria,"mixed infections of Plasmodium vivax with other Plasmodium species, except Plasmodium falciparum, "
110,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,713,B50.9,B509,"Plasmodium falciparum malaria, unspecified",''
111,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,714,B51,B51,Plasmodium vivax malaria,"mixed infections of Plasmodium vivax with other Plasmodium species, except Plasmodium falciparum, "
112,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,715,B51.0,B510,Plasmodium vivax malaria with rupture of spleen,''
113,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,715,B51.0,B510,Plasmodium vivax malaria with rupture of spleen,''
114,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01, Malaria Total,716,B51.8,B518,Plasmodium vivax malaria with other complications,''
115,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD11,No pneumonia - Cough or cold,8056,R05,R05,Cough,''
116,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4221,J18.9,J189,"Pneumonia, unspecified",''
117,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4220,J18.8,J188,"Other pneumonia, organism unspecified",''
118,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4219,J18.2,J182,"Hypostatic pneumonia, unspecified",''
119,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4218,J18.1,J181,"Lobar pneumonia, unspecified",''
120,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4217,J18.0,J180,"Bronchopneumonia, unspecified",''
121,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4216,J18,J18,"Pneumonia, organism unspecified",''
122,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4215,J17.8,J178,Pneumonia in other diseases classified elsewhere,"Pneumonia (in): ornithosis, Pneumonia (in): Q fever, Pneumonia (in): rheumatic fever, Pneumonia (in): spirochaetal, not elsewhere classified, "
123,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4214,J17.3,J173,Pneumonia in parasitic diseases,"Pneumonia in: ascariasis, Pneumonia in: schistosomiasis, Pneumonia in: toxoplasmosis, "
124,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4213,J17.2,J172,Pneumonia in mycoses,"Pneumonia in: aspergillosis, Pneumonia in: candidiasis, Pneumonia in: coccidioidomycosis, Pneumonia in: histoplasmosis, "
125,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4212,J17.1,J171,Pneumonia in viral diseases classified elsewhere,"Pneumonia in: cytomegalovirus disease, Pneumonia in: measles, Pneumonia in: rubella, Pneumonia in: varicella, "
126,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4211,J17.0,J170,Pneumonia in bacterial diseases classified elsewhere,"Pneumonia (due to)(in): actinomycosis, Pneumonia (due to)(in): anthrax, Pneumonia (due to)(in): gonorrhoea, Pneumonia (due to)(in): nocardiosis, Pneumonia (due to)(in): salmonella infection, Pneumonia (due to)(in): tularaemia, Pneumonia (due to)(in): typhoid fever, Pneumonia (due to)(in): whooping cough, "
127,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4210,J17,J17,Pneumonia in diseases classified elsewhere,''
128,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4209,J16.8,J168,Pneumonia due to other specified infectious organisms,''
129,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4208,J16.0,J160,Chlamydial pneumonia,''
130,"1.3.2 ","1.3.2 Other Infectious/Communicable Diseases",CD12,Pneumonia,4207,J16,J16,"Pneumonia due to other infectious organisms, not elsewhere classified",''
