hmis_id,hmis_code,hmis_name,hmis_section,hmis_section_id,dhis2_dataElement_id,dhis2_code,dhis2_name,dhis2_shortName,dhis2_dataset,dhis2_categoryCombo_id,dhis2_categoryOptionCombo_id,dhis2_categoryOptionCombo_name
490,AN07e,No of pregnant women who were tested for blood grouping - Blood Group (B) - Rhesus B+,Antenatal,2.1,t6bnhabqp9j,105-AN07C2,105-AN07c2. No. of pregnant women who were tested for blood grouping - Blood Group (B) -Rhesus B-,105-AN07c2. Preg women tested for blood group - B-,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
491,AN07f,No of pregnant women who were tested for blood grouping - Blood Group (B) - Rhesus B-,Antenatal,2.1,t6bnhabqp9j,105-AN07C2,105-AN07c2. No. of pregnant women who were tested for blood grouping - Blood Group (B) -Rhesus B-,105-AN07c2. Preg women tested for blood group - B-,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
492,AN07g,No of pregnant women who were tested for blood grouping - Blood Group (AB) - Rhesus AB+,Antenatal,2.1,BSw2fU4pgcR,105-AN07d2,105-AN07d2 No. of pregnant women who were tested for blood grouping - Blood Group (AB) Rhesus AB-,105-AN07d2. Preg women tested for blood group-AB-,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
493,AN07h,No of pregnant women who were tested for blood grouping - Blood Group (AB) - Rhesus AB-,Antenatal,2.1,BSw2fU4pgcR,105-AN07d2,105-AN07d2 No. of pregnant women who were tested for blood grouping - Blood Group (AB) Rhesus AB-,105-AN07d2. Preg women tested for blood group-AB-,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
494,AN08,No of pregnant women who were tested for Anaemia using Hb Test at ANC 1st Contact/visit,Antenatal,2.1,Y94ON8bFTQ8,105-AN08,105-AN08. No. of pregnant women who were tested for Anaemia using Hb Test at ANC 1st Contact / visit,105-AN08. Tested for Anaemia ANC 1st visit,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
495,AN09,No of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Contact/visit,Antenatal,2.1,tWWiCNRnEFO,105-AN09,105-AN09. No. of pregnant women with Anaemia (Hb <10g/dl) at ANC 1st Contact / visit,105-AN09. Pregnant women with Anaemia (Hb <10g/dl),"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
496,AN10,No of pregnant women receiving atleast 30 Tablets of Folic Acid 0-12 wks of gestation,Antenatal,2.1,gXwc3cpZbVz,105-AN10A,105-AN10a. No. of pregnant women receiving atleast 30 Tablets of Folic Acid 0-12 wks of gestation,105-AN10a. Pregnant women receiving atleast 30 Tab,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
497,AN11,No of pregnant women receiving atleast 30 Tablets of Iron & Folic Acid 13+ wks of gestation,Antenatal,2.1,nmpvshKHVV5,105-AN10B,105-AN10b. No. of pregnant women receiving atleast 30 Tablets of Iron & Folic Acid - 13+ wks of gestation,105-AN10b. Pregnant women receiving atleast 30 Tab,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",PSBBFivHXrL,QGprPUGJp4N,25-49Yrs
498,AN12,Pregnant Women receiving LLINs at ANC 1st visit,Antenatal,2.1,KwdS7TztHf0,105-AN11,105-AN11. Pregnant Women receiving LLINs at ANC 1st visit,105-AN11. Pregnant Women receiving LLINs at ANC 1s,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
499,AN13a,No of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting - Total U/S Scan done,Antenatal,2.1,b2KqlfIjy95,105-AN12A,105-AN12a. No. of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting month,105-AN12a. Ultra sound scan any ANC visit,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bjDvmb4bfuf,HllvX50cXC0,default
