id,section_name,section_id,section_item_name,section_item_code
188,Endocrine and Metabolic Disorders,1.3.18,Other Endocrine and Metabolic Diseases,EM03
189,Injuries,1.3.19,Jaw injuries,IN01
190,Injuries,1.3.19,Injuries due to Gender based violence,IN02
191,Injuries,1.3.19,Injuries Trauma due to other causes,IN03
192,Injuries,1.3.19,Animal bites - Domestic,IN04a
193,Injuries,1.3.19,Animal bites - Wild,IN04b
194,Injuries,1.3.19,Snake bites,IN05
195,Injuries,1.3.19,Insect bites,IN06
196,Minor Operations in OPD,1.3.20,Tooth extractions,MO01
197,Minor Operations in OPD,1.3.20,Dental Fillings,MO02
198,Minor Operations in OPD,1.3.20,Other Minor Operations,MO03
199,Neglected Tropical Diseases (NTDs),1.3.21,Leishmaniasis,NT01
200,Neglected Tropical Diseases (NTDs),1.3.21,Lymphatic Filariasis (hydrocele),NT02
201,Neglected Tropical Diseases (NTDs),1.3.21,Lymphatic Filariasis (Lymphoedema),NT03
202,Neglected Tropical Diseases (NTDs),1.3.21,Urinary Schistosomiasis,NT04
203,Neglected Tropical Diseases (NTDs),1.3.21,Intestinal Schistosomiasis,NT05
204,Neglected Tropical Diseases (NTDs),1.3.21,Onchocerciasis,NT06
205,Maternal conditions,1.3.22,Abortions due to Gender Based Violence (GBV),MC01
206,Maternal conditions,1.3.22,Abortions due to other causes,MC02
207,Maternal conditions,1.3.22,Malaria in pregnancy,MC03
208,Maternal conditions,1.3.22,High blood pressure in pregnancy,MC04
209,Maternal conditions,1.3.22,Diabetes in Pregnancy,MC05
210,Maternal conditions,1.3.22,Obstructed labour,MC06
211,Maternal conditions,1.3.22,Puerperal sepsis,MC07
212,Maternal conditions,1.3.22,Psychosis of Postpartum onset,MC08
213,Maternal conditions,1.3.22,Post Traumatic Stress Disorder of Postpartum onset,MC09
214,Maternal conditions,1.3.22,Haemorrhage related to pregnancy (APH),MC10
215,Maternal conditions,1.3.22,Haemorrhage related to pregnancy (PPH),MC11
216,Maternal conditions,1.3.22,Breast cancer - Total Screened,MC12a
217,Maternal conditions,1.3.22,Breast cancer - No with breast cancer,MC12b
218,Maternal conditions,1.3.22,Cervical cancer - Total Screened,MC13a
219,Maternal conditions,1.3.22,Cervical cancer - No with cervical cancer,MC13b
220,Other OPD conditions,1.3.23,All others,OP01
221,Deaths in OPD,1.3.24,Deaths in OPD,DT01
222,Emergency Medical Services,1.3.25,No of emergency cases at the facility - Medical,ES01a
223,Emergency Medical Services,1.3.25,No of emergency cases at the facility - Obstetrics/gynaecology,ES01b
224,Emergency Medical Services,1.3.25,No of emergency cases at the facility - Surgical,ES01c
225,Emergency Medical Services,1.3.25,No of emergency cases at the facility - Road Traffic Injuries,ES01d
226,Emergency Medical Services,1.3.25,No of Patients that received care at the scene of emergency,ES02
227,Emergency Medical Services,1.3.25,No of emergency cases that arrived at the facility by Ambulance,ES03a
228,Emergency Medical Services,1.3.25,No of emergency cases that arrived at the facility by Police Vehicle,ES03b
229,Emergency Medical Services,1.3.25,No of emergency cases that arrived at the facility by Private Transportation,ES03c
230,Emergency Medical Services,1.3.25,No of patients accessing care within 1hr in an emergency unit,ES04
231,Emergency Medical Services,1.3.25,No of patients who developed complications within 24 hours of care,ES05
232,Emergency Medical Services,1.3.25,No of patients with hypoxemia - Total,ES06a
233,Emergency Medical Services,1.3.25,No of patients with hypoxemia - Administered with Oxygen,ES06b
234,Emergency Medical Services,1.3.25,No of patients with external haemorrhages - Total,ES07a
235,Emergency Medical Services,1.3.25,No of patients with external haemorrhages - Controlled,ES07b
236,Emergency Medical Services,1.3.25,Road Traffic Injuries - Motor Vehicle,ES08a
237,Emergency Medical Services,1.3.25,Road Traffic Injuries - Motor Cycle,ES08b
238,Emergency Medical Services,1.3.25,Road Traffic Injuries - Bicycle,ES08c
239,Emergency Medical Services,1.3.25,Road Traffic Injuries - Pedestrian,ES08d
240,Emergency Medical Services,1.3.25,Road Traffic Injuries - Others,ES08e
241,Emergency Medical Services,1.3.25,No of deaths at the emergency unit - Medical,ES09a
242,Emergency Medical Services,1.3.25,No of deaths at the emergency unit - Obstetrics/gynaecology,ES09b
243,Emergency Medical Services,1.3.25,No of deaths at the emergency unit - Surgical,ES09c
244,Emergency Medical Services,1.3.25,No of deaths at the emergency unit - Road traffic injuries,ES09d
245,Emergency Medical Services,1.3.25,No of Patients who received vaccination for Tetanus,ES10a
246,Emergency Medical Services,1.3.25,No of Patients who received vaccination for Rabies,ES10b
247,Emergency Medical Services,1.3.25,No of Patients who received vaccination for Antivenom,ES10c
248,TB Screening,1.3.26,OPD - No screened for TB,TP01a
249,TB Screening,1.3.26,OPD - No of presumptive TB cases identified,TP01b
250,TB Screening,1.3.26,OPD - No of presumptive diagnosed with TB,TP01c
251,TB Screening,1.3.26,ART - No screened for TB,TP02a
252,TB Screening,1.3.26,ART - No of presumptive TB cases identified,TP02b
253,TB Screening,1.3.26,ART - No of presumptive diagnosed with TB,TP02c
254,TB Screening,1.3.26,Out Reaches - No screened for TB,TP03a
255,TB Screening,1.3.26,Out Reaches - No of presumptive TB cases identified,TP03b
256,TB Screening,1.3.26,Out Reaches - No of presumptive diagnosed with TB,TP03c
257,Leprosy services,1.3.27,New and relapse leprosy cases registered - Screened,LE01a
258,Leprosy services,1.3.27,New and relapse leprosy cases registered - Presumed,LE01b
259,Leprosy services,1.3.27,New and relapse leprosy cases registered - Diagnosed,LE01c
260,Essential Medicines and Health Supplies,6.0,Artemether/Lumefantrine 20mg,SS01
261,Essential Medicines and Health Supplies,6.0,Artesunate 60mg,SS02
262,Essential Medicines and Health Supplies,6.0,Long Lasting Insecticidal Nets (LLINs),SS03
263,Essential Medicines and Health Supplies,6.0,Chlorhexidine Digluconate Gel (equivalent to 4% chlorhexidine),SS04
264,Essential Medicines and Health Supplies,6.0,Therapeutic milk F75 200kcal/100ml,SS05
265,Essential Medicines and Health Supplies,6.0,Ready to use Therapeutic feeds (RUTF),SS06
266,Essential Medicines and Health Supplies,6.0,Oral Liquid Morphine 10mg/5ml,SS07
267,Essential Medicines and Health Supplies,6.0,Retinol (Vitamin A) 200,000 IU,SS08
268,Essential Medicines and Health Supplies,6.0,Bendrofluazide 2.5mg,SS09
269,Essential Medicines and Health Supplies,6.0,Amlodipine 5mg,SS10
270,Essential Medicines and Health Supplies,6.0,Captopril 25mg,SS11
271,Essential Medicines and Health Supplies,6.0,Metformin 500mg,SS12
272,Essential Medicines and Health Supplies,6.0,Glimepiride 2mg,SS13
273,Essential Medicines and Health Supplies,6.0,Insulin short acting 40IU/1ml,SS14
274,Essential Medicines and Health Supplies,6.0,Filled Oxygen Cylinder (Big Size) 1.5LW/Cm3GC,SS15
275,Essential Medicines and Health Supplies,6.0,Ferrous sulphate + Folic Acid,SS16
276,Essential Medicines and Health Supplies,6.0,Salbutamol inhaler,SS17
277,Essential Medicines and Health Supplies,6.0,Carbamazepine 200mg,SS18
