section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,YFlzt691Hm8,"25-49Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,nmvDqGogEyw,"25-49Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,u6TZwW7LKHG,"50+Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,fmyu6PJJeQW,"50+Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,HllvX50cXC0,Pregnant women who re-tested later in pregnancy - Total
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,Un1MGK9qAU1,HllvX50cXC0,Pregnant women who re-tested later in pregnancy - Total
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,Y0Gaon8coI0,HllvX50cXC0,Eligible for a Viral Load during the month
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,Kq56swi3KAi,"10-14Yrs
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,oVc5PtW8IsH,"15-19Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,dqUlEsSUs8w,"20-24Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,xgiuSKF9lKY,"25-49Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,WQ8FzlyAWIM,"50+Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,HllvX50cXC0,"default 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,Kq56swi3KAi,"10-14Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,oVc5PtW8IsH,15-19Yrs 
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,dqUlEsSUs8w,"20-24Yrs
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,xgiuSKF9lKY,"25-49Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,WQ8FzlyAWIM,"50+Yrs 
"
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Suppressed,EyFiFBDoISI,HllvX50cXC0,"default 
"
2.1,Antenatal,,,AN24,Pregnant women given self-testing kits for male partners,YJPups0RKU1,HllvX50cXC0,Total
2.1,Antenatal,,,AN24,Pregnant women given self-testing kits for male partners,hMqyyIjGaNj,HllvX50cXC0,Tests returned - NEG
2.1,Antenatal,,,AN24,Pregnant women given self-testing kits for male partners,hoCZiI7r0rE,HllvX50cXC0,Tests returned - POS
2.1,Antenatal,,,AN25,Male partners received HIV test results in eMTCT,RSWVr1a2ObB,E7OcV5dLNeV,Negative
2.1,Antenatal,,,AN25,Male partners received HIV test results in eMTCT,RSWVr1a2ObB,gqp69grjFaC,Positive
2.1,Antenatal,,,AN26,HIV+ Male partners initiated on ART in ANC,CHJ4TiPI77E,Uj3ZNV4ZYHr,Known
2.1,Antenatal,,,AN26,HIV+ Male partners initiated on ART in ANC,CHJ4TiPI77E,No9b4ifLZrj,New
2.1,Antenatal,,,AN27,No. of discordant couple identified in ANC,fpqDkJLzPhp,HllvX50cXC0,No. of discordant couple identified in ANC
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Presumed to have TB
",tlCReAq4tXE,HllvX50cXC0,default
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN29,"TB Screening for ANC Clients-Diagnosed with TB
",JCM6Bf7sFdB,HllvX50cXC0,default
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN30,HIV+ pregnant women given ARV prophylaxis for unborn infants,OAE0djM31JL,HllvX50cXC0,default
2.1,Antenatal,,,AN31,Male partners with known status at first ANC couple visit,trSb0o79D5U,E7OcV5dLNeV,Negative
2.1,Antenatal,,,AN31,Male partners with known status at first ANC couple visit,trSb0o79D5U,gqp69grjFaC,Positive
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN01,ANC 1st contacts/visits for women,uUYRrEU5iOB,c9JPAeQh49R,20-24Yrs
